n_points,n_lots,n_wafers,pooled_slope,ci_lo,ci_hi,p_value,cum_10w_um,cum_10w_pct,quad_p,fwe_p
9,8,75,-0.10560052955082766,-0.11911760187340689,-0.09208345722824843,8.008678909996767e-24,-0.9504047659574489,-2.3622445872073516,0.16939607855113234,0.21958058326257915
89,10,88,-0.11884790787040361,-0.1338712005063542,-0.10382461523445302,8.495373590028199e-26,-1.0696311708336326,-2.449455515130539,0.15568276148409,0.42157019546750996
