model,train_R2(in-lot),CV_R2(LOLO),CV_RMSE_um,R2_gap
Baseline_globalmean,,0.0,0.34401809446091897,
Baseline_trainlotmean,,-0.019693181204891053,0.347388984819942,
Ridge,0.9727199223694087,0.8147108764983012,0.1480833563964686,0.15800904587110753
Lasso,0.9790767164952252,0.7881753342937893,0.15833231102122097,0.19090138220143593
ElasticNet,0.9829088308419058,0.7621275433828609,0.16778508984933677,0.2207812874590449
RandomForest,0.9757466756245051,0.763717088929709,0.16722355134717884,0.2120295866947961
