feature,lot8,other_mean,other_std,z
moriInnerCurrent__range,1.024432373046875,0.025795423719618054,0.0003778667468730483,2642.828345154088
HeliumBPPressure__range,1.5155892372131348,0.01947286393907335,0.000773992371794694,1932.9859411985458
Gas1Flow__range,15.245000007748605,0.30758703384065506,0.04910210279185698,304.2112684507098
SourceRFTuningCapacitor__mean,3.014501428604126,3.0076872772640653,3.513665200736228e-05,193.93285787823538
SourceRFTuningCapacitor__slope,3.284445456848367e-05,7.350672783905447e-05,3.6318288660923193e-07,-111.9608736254182
SourceRFTuningCapacitor__std,0.24716502726078032,0.2316192446483506,0.00021008159507736259,73.99878417100264
SourceRF2TuningCapacitor__mean,1.9351118206977844,1.9435869380279824,0.00011874440358040452,-71.37277273416359
HeliumBPPressure__mean,14.247739124298096,14.378388072826246,0.001937479672645599,-67.4324228391775
moriInnerCurrent__mean,9.750961399078369,9.821887729786061,0.0011227314774768557,-63.173013432461175
HeliumBPPressure__slope,-0.0018454954738907452,-0.002739891486966341,1.7148908393444676e-05,52.154690698417085
SourceRF2TuningCapacitor__std,0.24235710948705674,0.2307158140120683,0.00022597293710045088,51.51632591213156
HeliumBPPressure__std,3.1451006650924684,2.9416390445497305,0.005167520006296016,39.37316552134175
moriInnerCurrent__std,1.472165048122406,1.32049284113778,0.0040616312152899,37.342683012101155
Gas1Flow__slope,0.016973767160518086,0.019626649205733718,7.338893293797833e-05,-36.14825749623049
SourceRF2TuningCapacitor__slope,4.817976064846926e-06,-4.737384278475501e-05,1.5254825299267761e-06,34.21331796707444
Pressure__std,0.009826166834682227,0.009228691710504115,2.2428191337705956e-05,26.639469727264437
moriInnerCurrent__slope,0.0005657142306444912,0.00016556261575249677,1.520125907408799e-05,26.32358365459946
Pressure__mean,0.039988591149449346,0.04055527298262826,2.389120026166555e-05,-23.719270148523236
Pressure__slope,4.384222948972398e-06,5.373910735068351e-07,1.8358152563399138e-07,20.954351818249055
Gas1Flow__std,35.57999725341797,34.93345760769315,0.031884827620756624,20.277344868062972
Gas4Flow__std,120.89868850708008,121.74497364185474,0.06969370438680177,-12.142920830807865
Gas5Flow__mean,399.67217407226565,406.7366044786242,0.6386599499151947,-11.061333041623502
Gas4Flow__mean,70.0304328918457,71.2211826465748,0.1082563970932847,-10.999347721715017
