subset,n_wafers,LOLO_R2,within_R2,RMSE_um
전체_8lot,75,0.8147108764983012,0.8984320428514516,0.1480833563964686
lot7제외_7lot,70,0.8371517176298352,0.9142997288483743,0.14246203496278098
