grid,chart,stage,center,sigma,lcl,ucl,mrbar,mr_ucl,n_used
9pt,원자료 I,제외 전,40.23312281481481,0.21106718420548282,39.599921262198365,40.86632436743126,0.23808378378378459,0.7778197216216243,75
9pt,원자료 I,제외 후,40.239605405405406,0.2116635361680545,39.604614796901245,40.87459601390957,0.23875646879756546,0.7800173835616463,74
9pt,잔차 I,제외 후,1.2482507520109869e-15,0.1509861593841107,-0.45295847815233087,0.4529584781523333,0.17031238778527685,0.5564105708944994,74
9pt,균일도 I,제외 후,4.195515606934739,0.035307445444351895,4.089593270601684,4.3014379432677945,0.039826798461228934,0.13011415057283493,74
89pt,원자료 I,제외 전,43.66811988323162,0.2535535706570474,42.90745917126048,44.42878059520276,0.2860084277011495,0.9343895332996554,88
89pt,원자료 I,제외 후,43.6757922949399,0.24952525578438403,42.92721652758675,44.424368062293055,0.2814644885247852,0.9195444840104732,86
89pt,잔차 I,제외 후,-7.601154847666187e-15,0.1614014762717007,-0.4842044288151097,0.4842044288150945,0.18206086523447837,0.5947928467210408,86
89pt,균일도 I,제외 후,13.273571521592014,0.1702078513368113,12.76294796758158,13.78419507560245,0.1919944563079231,0.6272458887579848,86
