lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
1,1,2024-07-02,2024-07-02_01,9,40.817,1.0380920515541983,39.3717,42.7924,0.6323222222222222,0.05653049570315517,41.44932222222222,1.000688888888889,0.3683666666666667,3.4207000000000036,4.190288360242061,2.5432835621290106,64.55094976190058,10,89 & 9 points,3,Chuck,Chuck_3x
1,2,2024-07-02,2024-07-02_02,9,40.614200000000004,1.0229303348713414,39.152,42.5551,0.6309111111111112,0.05500591887343678,41.245111111111115,1.0005,0.36958888888888886,3.403100000000002,4.189544543534037,2.518651936690471,64.37388609066254,10,89 & 9 points,3,Chuck,Chuck_3x
1,3,2024-07-02,2024-07-02_03,9,40.76216666666667,1.0237989023729221,39.3005,42.6863,0.6279444444444445,0.055097983427506506,41.39011111111111,1.0001666666666666,0.37222222222222223,3.3858000000000033,4.153115838624872,2.5116400478538234,64.91365124303283,10,89 & 9 points,3,Chuck,Chuck_3x
1,4,2024-07-02,2024-07-02_04,9,40.519666666666666,1.0273499391638647,39.0666,42.5306,0.6221333333333333,0.05488132651458056,41.1418,0.999788888888889,0.3776555555555555,3.4639999999999986,4.274467542510219,2.5354353174109643,65.13019717102443,10,89 & 9 points,3,Chuck,Chuck_3x
1,5,2024-07-02,2024-07-02_05,9,40.10752222222222,1.0216316126395275,38.6662,42.0905,0.6136555555555555,0.053963647743437246,40.721177777777775,0.9996111111111112,0.3859555555555556,3.4242999999999952,4.268899959747085,2.5472319306563294,65.3583624545076,10,89 & 9 points,3,Chuck,Chuck_3x
1,6,2024-07-02,2024-07-02_06,9,40.264155555555554,1.0346086000405073,38.813,42.2801,0.6136777777777778,0.05441644461414624,40.87783333333333,0.9996222222222223,0.3859444444444444,3.467099999999995,4.305442337187688,2.5695524611536387,65.61123282214699,10,89 & 9 points,3,Chuck,Chuck_3x
1,7,2024-07-02,2024-07-02_07,9,40.13124444444444,1.0354355787675913,38.6888,42.1817,0.6106555555555555,0.05481450791330499,40.7419,0.9996666666666667,0.38901111111111114,3.492899999999999,4.351846109376677,2.58012327577081,65.71829909568952,10,89 & 9 points,3,Chuck,Chuck_3x
1,8,2024-07-02,2024-07-02_08,9,39.79421111111111,1.027709689606513,38.4364,41.8354,0.6043444444444445,0.053735512259378136,40.398555555555554,0.9987333333333334,0.3943888888888889,3.399000000000001,4.270721676715124,2.582560781860962,65.84690481881194,10,89 & 9 points,3,Chuck,Chuck_3x
1,9,2024-07-02,2024-07-02_09,9,40.0573,1.0222339898477246,38.6399,42.0554,0.6064333333333333,0.05436460245417052,40.66373333333333,0.9985777777777778,0.39214444444444446,3.4155000000000015,4.263267868777978,2.5519293358457125,66.05392183806958,10,89 & 9 points,3,Chuck,Chuck_3x
1,10,2024-07-02,2024-07-02_10,9,40.01148888888889,1.0198561766793928,38.612,42.0128,0.6054222222222223,0.05368835483086109,40.616911111111115,0.9981555555555555,0.3927333333333334,3.4007999999999967,4.249779368925699,2.5489083385812337,66.08856996035824,10,89 & 9 points,3,Chuck,Chuck_3x
