lot_number,wafer_number,date,experiment_key,n_points,si_etch_mean,si_etch_std,si_etch_min,si_etch_max,oxide_etch_mean,oxide_etch_std,stepheight_mean,preox_mean,postox_mean,si_etch_range,si_nu_pct,si_cv_pct,selectivity,si_etch_center,si_etch_edge,center_to_edge,n_interpolated,n_wafers_planned,measurements,cond_rep,cond_type,cond_label
1,1,2024-07-02,2024-07-02_01,89,44.28899101123595,3.688361093285706,40.5896,52.6763,0.6018027662921348,0.07581600101156803,44.6879011235955,1.0007128786516855,0.39891011235955054,12.0867,13.645264572558958,8.32794111825664,73.59386412281232,42.242,50.62554,8.383540000000004,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,2,2024-07-02,2024-07-02_02,89,44.038886516853935,3.6361615608230413,40.3938,51.8768,0.6005827669213484,0.07362934163915232,44.43885168539326,1.000547935460674,0.39996516853932584,11.483000000000004,13.037341436420508,8.256706398404196,73.32692335246645,41.99098,50.318205,8.327224999999999,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,3,2024-07-02,2024-07-02_03,89,44.149623595505616,3.603756541381583,40.5103,51.911,0.5973194684382023,0.07500325592601849,44.55259662921348,1.0002925021460674,0.4029730337078652,11.4007,12.911435105825658,8.162598563464178,73.91291583202978,42.15304,50.363405,8.210365000000003,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,4,2024-07-02,2024-07-02_04,89,43.90529550561798,3.5522596776850137,40.3074,51.6734,0.5911904465955057,0.07490538307518674,44.313969662921345,0.9998646038988764,0.4086741573033708,11.366,12.943768933915548,8.090731736973455,74.26590831847139,41.87794,50.016325,8.138385,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,5,2024-07-02,2024-07-02_05,89,43.426591011235956,3.509060637272411,39.8455,51.0277,0.5828990922808989,0.07389972137767306,43.84335393258427,0.9996620136292135,0.4167629213483146,11.182200000000002,12.874830535404888,8.080442317851974,74.50104415381162,41.53406,49.465255,7.931195000000002,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,6,2024-07-02,2024-07-02_06,89,43.584064044943815,3.504993155363801,39.988,51.257,0.5827595102808989,0.07425508157208568,44.000979775280896,0.9996752406179776,0.4169157303370786,11.268999999999998,12.927890327505283,8.041914475321663,74.78910815875942,41.6985,49.60215,7.903649999999999,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,8,2024-07-02,2024-07-02_08,89,43.09692808988764,3.477713183714158,39.5443,50.67,0.5745922288539326,0.07295531019912095,43.52118539325843,0.9988495322247191,0.4242573033707865,11.125700000000002,12.90776453578667,8.069515248188134,75.00436992656115,41.255759999999995,49.076305000000005,7.82054500000001,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,9,2024-07-02,2024-07-02_09,89,43.339929213483146,3.4895088394683547,39.7618,50.9367,0.5764614146179775,0.07319736724754514,43.7621606741573,0.9986928752921348,0.42223146067415734,11.174900000000001,12.892153036239229,8.051487168517943,75.18270627393966,41.50414,49.336905,7.832765000000002,0,10,89 & 9 points,3,Chuck,Chuck_3x
1,10,2024-07-02,2024-07-02_10,89,43.28435730337079,3.477851927747658,39.7163,50.9023,0.5755332011685393,0.07265136410721779,43.70707752808989,0.9982534258876405,0.42272022471910115,11.186,12.921527194685739,8.034893306540603,75.2074028318227,41.45852,49.25935,7.800829999999998,0,10,89 & 9 points,3,Chuck,Chuck_3x
2,1,2024-07-05,2024-07-05_01,89,44.20857078651686,3.7932214769543546,40.4464,52.6825,0.5954297366067416,0.07441589339491182,44.610998876404494,0.997857826494382,0.40242808988764045,12.2361,13.83905856071226,8.580285246659109,74.24649470557921,42.120140000000006,50.771125,8.650984999999991,0,10,89 & 9 points,1,Chuck,Chuck_1x
