tol_pct,9pt_웨이퍼평균_단기,9pt_웨이퍼평균_장기,9pt_전측정점,89pt_웨이퍼평균_단기,89pt_웨이퍼평균_장기,89pt_전측정점
0.5,0.3168009280451509,0.19361385616782842,0.06558053212755777,0.2916746826953491,0.18108637735775307,0.020161084821395128
0.6,0.3801611136541811,0.2323366274013941,0.07869663855306931,0.35000961923441887,0.21730365282930367,0.02419330178567415
0.7,0.44352129926321127,0.27105939863495976,0.09181274497858086,0.40834455577348866,0.25352092830085426,0.028225518749953174
0.8,0.5068814848722415,0.30978216986852547,0.10492885140409244,0.46667949231255856,0.28973820377240495,0.032257735714232204
0.9,0.5702416704812716,0.3485049411020911,0.118044957829604,0.5250144288516283,0.3259554792439555,0.036289952678511234
1.0,0.6336018560903018,0.38722771233565684,0.13116106425511553,0.5833493653906981,0.36217275471550614,0.040322169642790257
1.1,0.6969620416993321,0.42595048356922255,0.14427717068062712,0.641684301929768,0.39839003018705677,0.044354386607069286
1.2000000000000002,0.7603222273083623,0.46467325480278826,0.15739327710613865,0.7000192384688378,0.4346073056586074,0.048386603571348316
1.3,0.8236824129173924,0.5033960260363539,0.1705093835316502,0.7583541750079076,0.470824581130158,0.05241882053562733
1.4,0.8870425985264225,0.5421187972699195,0.1836254899571617,0.8166891115469773,0.5070418566017085,0.05645103749990635
1.5,0.9504027841354528,0.5808415685034852,0.19674159638267333,0.8750240480860473,0.5432591320732592,0.06048325446418538
1.6,1.013762969744483,0.6195643397370509,0.2098577028081849,0.9333589846251171,0.5794764075448099,0.06451547142846441
1.7000000000000002,1.0771231553535132,0.6582871109706167,0.22297380923369645,0.991693921164187,0.6156936830163605,0.06854768839274343
1.8,1.1404833409625432,0.6970098822041823,0.236089915659208,1.0500288577032566,0.651910958487911,0.07257990535702247
1.9000000000000001,1.2038435265715735,0.735732653437748,0.2492060220847195,1.1083637942423268,0.6881282339594618,0.07661212232130149
2.0,1.2672037121806037,0.7744554246713137,0.26232212851023107,1.1666987307813963,0.7243455094310123,0.08064433928558051
2.1,1.3305638977896337,0.8131781959048793,0.27543823493574265,1.2250336673204663,0.7605627849025629,0.08467655624985954
2.2,1.3939240833986641,0.8519009671384451,0.28855434136125424,1.283368603859536,0.7967800603741135,0.08870877321413857
2.3,1.4572842690076941,0.8906237383720107,0.3016704477867657,1.3417035403986055,0.832997335845664,0.09274099017841758
