phi_deg,sd,offset
0.0,1.5239627475889617,1.0681532946127956
2.0,1.5235923670157572,1.0936755680211911
4.0,1.5232395431597912,1.11609930638225
6.0,1.5227409095739057,1.1353971898248938
8.0,1.5219626514909668,1.151545706850759
10.0,1.5208011978160674,1.1645251829793348
12.0,1.519183716441131,1.1743198047182968
14.0,1.5113031159085981,1.1776979281875073
16.0,1.4844481423539146,1.2072107605257354
18.0,1.4649368971438401,1.2552604804525993
20.0,1.4576593787956298,1.3133542244593726
22.0,1.4508831470394106,1.3657365340633225
24.0,1.4441128398033367,1.412343589489073
26.0,1.4497395132296602,1.4042901596050825
28.0,1.4562332713977981,1.3812625242873358
30.0,1.4616680197662013,1.3516891485220823
32.0,1.3728296479022422,1.447970444286119
34.0,1.3033000235635224,1.5349297133208755
36.0,1.289001879471055,1.5132861740431633
38.0,1.3162975366214846,1.4127790876193005
40.0,1.3620056142552337,1.301942827322315
42.0,1.4081754384891076,1.2238081999282595
44.0,1.4148594829467598,1.2416893842231882
46.0,1.40567454994043,1.241724193765073
48.0,1.3791384628408117,1.223912586143861
50.0,1.410049810694244,1.275209467455743
52.0,1.4674182555772772,1.3492765530520454
54.0,1.5251247146163183,1.414624245307806
56.0,1.515401621319011,1.4374288022511148
58.0,1.4126283276063067,1.4030065796326605
60.0,1.3161639402169687,1.3603174246269143
62.0,1.3579262809019523,1.3896286355450609
64.0,1.3998595776268175,1.4122898513516446
66.0,1.4289384558332539,1.4205079135461862
68.0,1.385999980709157,1.377594886599883
70.0,1.3445290292096013,1.3287412962107368
72.0,1.3054954308540667,1.2740066629533118
74.0,1.251362995793386,1.229690561268959
76.0,1.194959830132235,1.205255745765725
78.0,1.1773946733016205,1.2034230914974953
80.0,1.1620855669890082,1.1881883544231873
82.0,1.1460973023162098,1.1699964105456706
84.0,1.129520459410992,1.148869423946307
86.0,1.1124815396605552,1.1248331346039062
88.0,1.0951454272942363,1.0979168270345225
90.0,1.0777179264166057,1.0681532946127956
92.0,1.0597124557362902,1.0936755680211894
94.0,1.042009804301558,1.116099306382249
96.0,1.0244043078329417,1.1353971898248945
98.0,1.0067200798736586,1.1515457068507575
100.0,0.988814937064482,1.1645251829793348
102.0,0.9705842406241939,1.1743198047182968
104.0,0.9463813095050196,1.1776979281875104
106.0,0.8911963499009108,1.2072107605257345
108.0,0.8470784417617595,1.2552604804525984
110.0,0.8254413489068806,1.3133542244593726
112.0,0.8051762583291654,1.365736534063321
114.0,0.785476256528227,1.4123435894890737
116.0,0.7883779264301151,1.404290159605084
118.0,0.793740548518504,1.3812625242873375
120.0,0.7981931063688473,1.3516891485220808
122.0,0.799835495389836,1.447970444286119
124.0,0.839103425484349,1.5349297133208748
126.0,0.8057167323972213,1.5132861740431625
128.0,0.7164289943596309,1.4127790876193014
130.0,0.6494872521787733,1.3019428273223166
132.0,0.6164683836391853,1.2238081999282595
134.0,0.590199393845927,1.2416893842231873
136.0,0.5665118536433144,1.2417241937650776
138.0,0.5427893120606649,1.223912586143864
140.0,0.583862909059948,1.2752094674557446
142.0,0.6587256562880933,1.3492765530520454
144.0,0.7349154040823762,1.414624245307806
146.0,0.7221864186084618,1.437428802251114
148.0,0.5834238152600507,1.4030065796326627
150.0,0.44862905688293475,1.3603174246269134
152.0,0.4728391572665584,1.3896286355450616
154.0,0.4998287360211463,1.412289851351643
156.0,0.5152160393943988,1.4205079135461856
158.0,0.45588298599705895,1.377594886599883
160.0,0.3948467196689727,1.328741296210736
162.0,0.3343095733950655,1.2740066629533127
164.0,0.2718236476156198,1.2296905612689584
166.0,0.22062394376903618,1.2052557457657227
168.0,0.19677118697098828,1.203423091497496
170.0,0.17096578837329776,1.1881883544231882
170.25,0.16764656998771954,1.1860756636817864
170.5,0.16430617639869458,1.1839168021879485
170.75,0.1609445869225603,1.1817118110432834
171.0,0.15756182396433127,1.1794607322276454
171.25,0.15415795761740717,1.1771636085983306
171.5,0.15073311097556655,1.1748204838892633
171.75,0.14728746628681785,1.172431402710156
172.0,0.14382127210583615,1.1699964105456684
172.25,0.1403348516348867,1.1675155537545518
172.5,0.13682861248468045,1.1649888795687342
172.75,0.13330305813792495,1.1624164360924527
173.0,0.12975880146285507,1.1597982723013223
173.25,0.12619658070461906,1.1571344380414104
173.5,0.12261727848422552,1.15442498402828
173.75,0.11902194446328303,1.151669961846029
174.0,0.11541182249587936,1.1488694239463062
174.25,0.111788383296623,1.1460234236473212
174.5,0.1081533639187932,1.1431320151328128
174.75,0.10450881567537723,1.1401952534510391
175.0,0.1008571625695861,1.1372131945137032
175.25,0.09720127285664978,1.1341858950949049
175.5,0.09354454706765647,1.131113412830067
175.75,0.08989102672712375,1.1279958062148212
176.0,0.08624552913001508,1.1248331346039053
176.25,0.08261381494841294,1.1216254582100262
176.5,0.07900279713134904,1.1183728381027183
176.75,0.07542080150766839,1.115075336207184
177.0,0.07187789154734493,1.1117330153030995
177.25,0.06838627148324171,1.1083459390234414
177.5,0.06496078257672463,1.1049141718532596
177.75,0.061619505010767316,1.1014377791284484
178.0,0.05838446954820414,1.097916827034524
178.25,0.0552824632870758,1.0943513826053328
178.5,0.052345874205915924,1.0907415137217962
178.75,0.04961344881119168,1.0870872891106211
179.0,0.04713072680814671,1.083388778342967
179.25,0.04494977131551455,1.079646051833153
179.5,0.043127677489982294,1.0758591808372984
179.75,0.041723332192527766,1.0720282374519654
180.0,0.040792194896720924,1.0681532946127972
180.25,0.042829628993509776,1.0715120031978829
180.5,0.04521511173335426,1.074822714295722
180.75,0.04788410777728407,1.0780853648751487
181.0,0.05078029774584486,1.0812998928199973
181.25,0.05385625672320569,1.0844662369302926
181.5,0.05707292624835602,1.0875843369234037
181.75,0.060398548088009756,1.0906541334352038
182.0,0.06380746445870625,1.0936755680211903
182.25,0.06727898928762047,1.0966485831576038
182.5,0.07079643239901716,1.099573122242524
182.75,0.07434629357293902,1.1024491295969403
183.0,0.07791761378255073,1.1052765504658177
183.25,0.08150146029807868,1.1080553310191377
183.5,0.08509052091589091,1.1107854183529318
183.75,0.08867878500193987,1.1134667604902648
184.0,0.09226129268030599,1.116099306382249
184.25,0.09583393715277135,1.118683005909004
184.5,0.09939330833915974,1.1212178098806223
184.75,0.10293656866112443,1.1237036700380802
185.0,0.10646135388214646,1.1261405390541863
185.25,0.10996569354295925,1.1285283705344753
185.5,0.11344794678419005,1.1308671190180657
185.75,0.1169067503069739,1.1331567399785685
186.0,0.12034097595503676,1.1353971898248938
186.25,0.12374969596198317,1.1375884259021067
186.5,0.1271321543363805,1.139730406492233
186.75,0.13048774318659445,1.1418230908150504
187.0,0.13381598304121164,1.1438664390288646
187.25,0.1371165064172351,1.145860412231273
187.5,0.1403890440409358,1.1478049724598962
187.75,0.14363341324542347,1.1497000826931132
188.0,0.14684950816238998,1.1515457068507575
188.25,0.15003729139924352,1.153341809794803
188.5,0.15319678695108266,1.1550883573300408
188.75,0.1563280741433411,1.1567853162047195
189.0,0.15943128243807556,1.1584326541111964
189.25,0.16250658696640655,1.1600303396865261
189.5,0.1655542046738791,1.1615783425130783
189.75,0.16857439098461505,1.1630766331191111
190.0,0.17156743690611342,1.164525182979334
192.0,0.19457968072651985,1.174319804718296
194.0,0.21536874363822764,1.1776979281875088
196.0,0.2788610393384865,1.2072107605257338
198.0,0.35076713651668323,1.2552604804525975
200.0,0.41452867636094975,1.3133542244593694
202.0,0.47775566437319045,1.3657365340633225
204.0,0.5392057557882708,1.412343589489073
206.0,0.5212864363978061,1.404290159605084
208.0,0.48798983077271324,1.3812625242873375
210.0,0.4534234868386538,1.3516891485220823
212.0,0.532561087757148,1.447970444286119
214.0,0.6507754258691881,1.5349297133208748
216.0,0.6576004015476116,1.5132861740431625
218.0,0.5933989616071071,1.4127790876192998
220.0,0.5621766877944252,1.301942827322315
222.0,0.5851199849145905,1.2238081999282595
224.0,0.6408862266325974,1.2416893842231866
226.0,0.6660853400742692,1.241724193765073
228.0,0.6617260497913957,1.2239125861438618
230.0,0.6676070637335254,1.2752094674557446
232.0,0.6922311785104377,1.3492765530520439
234.0,0.7283577888087921,1.414624245307806
236.0,0.7547013399027008,1.4374288022511148
238.0,0.7779570590983085,1.4030065796326627
240.0,0.8280534257583455,1.3603174246269125
242.0,0.8704533943949194,1.3896286355450609
244.0,0.9124906642587454,1.41228985135164
246.0,0.9460235286083537,1.4205079135461856
248.0,0.9368109932224602,1.377594886599884
250.0,0.9299839185469697,1.3287412962107328
252.0,0.9266984162143705,1.2740066629533093
254.0,0.9276581377179105,1.2296905612689575
256.0,0.9401193775763962,1.2052557457657234
258.0,0.9671596622274681,1.203423091497496
260.0,0.98796374607942,1.1881883544231866
262.0,1.0086336658703783,1.169996410545669
264.0,1.029262290443909,1.148869423946307
266.0,1.0499676869986974,1.1248331346039053
268.0,1.0708898537158866,1.097916827034524
270.0,1.0921874592479799,1.0681532946127947
272.0,1.1100439613006086,1.0936755680211894
274.0,1.1280339730529971,1.116099306382249
276.0,1.1459121404915522,1.135397189824893
278.0,1.1634866905995938,1.1515457068507575
280.0,1.1806161603875214,1.1645251829793348
282.0,1.1972061220985455,1.174319804718296
284.0,1.20914521979101,1.1776979281875066
286.0,1.2303316195839835,1.2072107605257345
288.0,1.2563943462892728,1.2552604804525975
290.0,1.2815420798751864,1.313354224459374
292.0,1.3085172155250748,1.365736534063321
294.0,1.336625556128227,1.4123435894890715
296.0,1.3328866495108747,1.4042901596050825
298.0,1.3229343347805613,1.3812625242873375
300.0,1.312685149288327,1.3516891485220814
302.0,1.242742522273745,1.447970444286118
304.0,1.1964538082545595,1.5349297133208788
306.0,1.2066009845880854,1.513286174043164
308.0,1.2570473385234335,1.4127790876193005
310.0,1.3249483995346993,1.3019428273223197
312.0,1.3949566950427552,1.2238081999282586
314.0,1.4323042786550322,1.2416893842231866
316.0,1.4435478567203512,1.241724193765077
318.0,1.4281533214266198,1.2239125861438593
320.0,1.4531617250478366,1.27520946745574
322.0,1.4989386424383706,1.3492765530520439
324.0,1.5468884241665848,1.414624245307806
326.0,1.5555954425001162,1.4374288022511148
328.0,1.5143907174460591,1.4030065796326612
