X,Y,r_mm,theta_deg,ring_id,ring_r,n,n_interp,mean,sd,slope,se,ci_lo,ci_hi,p,p_fdr,mean_no_interp,interp_shift
0,0,0.0,0.0,0,0.0,88,0,41.864431818181814,0.3194947162139155,-0.09436385994167679,0.006399528464742072,-0.10710694912550751,-0.08162077075784606,3.939021840541836e-24,6.1504025229512885e-24,41.86443181818182,7.105427357601002e-15
0,-19000,19.0,-90.0,1,19.0,88,0,41.95270568181818,0.3180622263840888,-0.09360880366822963,0.006423937554214042,-0.10640049755875886,-0.0808171097777004,7.730319637922858e-24,1.146664079625224e-23,41.95270568181818,0.0
19000,0,19.0,0.0,1,19.0,88,0,41.604822727272726,0.31085738265496765,-0.09180705293875863,0.006320393650410451,-0.10439256457572327,-0.07922154130179399,9.261157402108781e-24,1.3136455718166973e-23,41.604822727272726,0.0
0,19000,19.0,90.0,1,19.0,88,0,41.36511704545455,0.3241399772914884,-0.0963345977490967,0.006353076375328102,-0.10898518900570689,-0.0836840064924865,7.889323146898585e-25,1.4939356597318598e-24,41.36511704545455,0.0
-19000,0,19.0,180.0,1,19.0,88,0,41.65130568181819,0.32323058079047917,-0.09509692371825056,0.006431596601302226,-0.1079038687199586,-0.0822899787165425,3.368031474295249e-24,5.450087294768676e-24,41.65130568181818,-7.105427357601002e-15
-19000,-19000,26.870057685088806,-135.0,2,26.87,88,0,41.78934772727273,0.3218929928490989,-0.0943465193831103,0.006476634393462019,-0.10724314608641512,-0.08144989267980547,7.871918499607273e-24,1.1485258138771267e-23,41.78934772727273,0.0
19000,-19000,26.870057685088806,-45.0,2,26.87,88,0,41.74705340909091,0.3121611762987905,-0.0915331304710641,0.006418568983769571,-0.10431413417209881,-0.07875212677002938,2.614359868304844e-23,3.2771553278750866e-23,41.74705340909091,0.0
19000,19000,26.870057685088806,45.0,2,26.87,88,0,41.12700454545455,0.3180068433114204,-0.09478694456026757,0.006324912042727437,-0.1073814534657935,-0.08219243565474163,1.5553963380873217e-24,2.714319099799444e-24,41.12700454545455,0.0
-19000,19000,26.870057685088806,135.0,2,26.87,88,0,41.18609204545455,0.334053418614032,-0.09869207169657385,0.006446720865660122,-0.11152913295616157,-0.08585501043698612,4.532774857875619e-25,9.621787173972712e-25,41.186092045454544,-7.105427357601002e-15
0,-38000,38.0,-90.0,3,38.0,88,0,41.822697727272725,0.32051238001347454,-0.0939083201334236,0.006486001152988521,-0.10682359843780612,-0.08099304182904107,1.1122761246638278e-23,1.5467589858606357e-23,41.822697727272725,0.0
